ad_id,list_id,area,area_name,ward,ward_name,street_name,company_ad,apartment_type,size,rooms,toilets,longitude,latitude,owner,deposit,price_million_per_m2,price
153724684,113116286,98,Quận 3,9364.0,Phường 1,Nguyễn Thiện Thuật,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.6781,10.7693,False,0.0,0.23500000000000001,9400000.0
155095267,114295942,102,Quận 7,9472.0,Phường Phú Thuận,Hoàng Quốc Việt,True,Chung cư,72.0,2,2.0,106.7416,10.715,False,0.0,0.16666666666666602,12000000.0
154944584,114164876,115,Huyện Bình Chánh,9517.0,Xã Bình Hưng,Nguyễn Văn Linh,True,Chung cư,76.0,2,2.0,106.6436,10.7109,False,14000000.0,0.09210526315789401,7000000.0
154944295,114164877,119,Thành phố Thủ Đức,9246.0,Phường Linh Tây (Quận Thủ Đức cũ),Phạm Văn Đồng,True,Chung cư,57.0,2,1.0,106.7536,10.8612,False,10000000.0,0.175438596491228,10000000.0
155095289,114295973,113,Quận Tân Phú,9316.0,Phường Sơn Kỳ,"số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM",True,Chung cư,96.0,2,2.0,106.6159,10.8037,False,0.0,0.140625,13500000.0
150666359,110494886,103,Quận 8,9452.0,Phường 6,Tạ Quang Bửu,True,Chung cư,55.0,1,1.0,106.66169,10.73488,False,0.0,0.127272727272727,7000000.0
148830802,108922034,111,Quận Phú Nhuận,9327.0,Phường 9,Hồng Hà,True,Chung cư,38.0,1,1.0,106.67288,10.80962,False,0.0,0.28947368421052605,11000000.0
153419468,112854198,98,Quận 3,9353.0,Phường 14,Đường Trần Quang Diệu,True,Chung cư,30.0,1,1.0,106.6781,10.7891,False,0.0,0.216666666666666,6500000.0
154944647,114164923,112,Quận Tân Bình,9313.0,Phường 15,Nguyễn Sỹ Sách,True,Chung cư,75.0,2,2.0,106.637,10.8203,False,0.0,0.11733333333333301,8800000.0
148366483,108528832,119,Thành phố Thủ Đức,9262.0,Phường Phú Hữu (Quận 9 cũ),D7,True,Chung cư,56.0,2,1.0,106.8018,10.78716,False,0.0,0.098214285714285,5500000.0
154944218,114164929,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Song Hành Xa Lộ Hà Nội,True,Chung cư,115.0,3,2.0,106.7509,10.8041,False,0.0,0.243478260869565,28000000.0
153114906,112592080,112,Quận Tân Bình,9301.0,Phường 12,Cộng Hòa,True,"Căn hộ dịch vụ, mini",35.0,1,1.0,106.6473,10.8016,False,2000000.0,0.14285714285714202,5000000.0
154793608,114033875,101,Quận 6,9439.0,Phường 10,Lý Chiêu Hoàng,True,Chung cư,88.0,3,2.0,106.6287,10.7377,False,0.0,0.13636363636363602,12000000.0
150666421,110494949,102,Quận 7,9467.0,Phường Tân Thuận Tây,Nguyễn Văn Linh,True,Chung cư,70.0,2,2.0,106.7236,10.7508,False,0.0,0.17857142857142802,12500000.0
153725347,113116394,102,Quận 7,9473.0,Phường Tân Phú,Tân Phú,True,Chung cư,80.0,2,2.0,106.7285,10.7271,False,0.0,0.3125,25000000.0
154944695,114164981,119,Thành phố Thủ Đức,9343.0,Phường Bình Trưng Đông (Quận 2 cũ),Nguyễn Duye Trinh,False,Chung cư,80.0,2,2.0,106.7714,10.7882,False,50000000.0,38.25,3060000000.0
154944710,114164984,109,Quận Bình Thạnh,9280.0,Phường 11,Phan Văn Trị,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.6952,10.817,False,0.0,0.18,7200000.0
148059233,108266752,111,Quận Phú Nhuận,9335.0,Phường 11,Trần Huy Liệu,True,"Căn hộ dịch vụ, mini",30.0,1,1.0,106.6778,10.794,False,6500000.0,0.2,6000000.0
155095369,114296083,110,Quận Gò Vấp,9263.0,Phường 15,Hẻm 688 Lê Đức Thọ,True,Officetel,67.0,1,1.0,106.6718,10.8472,False,10000000.0,0.149253731343283,10000000.0
154944747,114165012,119,Thành phố Thủ Đức,9344.0,Phường Bình Trưng Tây (Quận 2 cũ),Nguyễn Thị Định,True,"Căn hộ dịch vụ, mini",79.0,1,1.0,106.7571,10.7853,False,0.0,0.24050632911392403,19000000.0
151430438,111150358,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Nguyễn Thị Định,True,Chung cư,104.0,3,2.0,106.7534,10.7916,False,0.0,0.15384615384615302,16000000.0
154944705,114165015,107,Quận 12,9231.0,Phường Tân Chánh Hiệp,Tân Chánh Hiệp,True,Chung cư,83.0,2,2.0,106.6259,10.8683,False,24000000.0,0.14457831325301201,12000000.0
151430512,111150361,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Nguyễn Thị Định,True,Chung cư,56.0,2,1.0,106.7534,10.7916,False,0.0,0.14285714285714202,8000000.0
154944764,114165020,109,Quận Bình Thạnh,9296.0,Phường 22,Nguyễn Hữu Cảnh,True,Chung cư,75.0,2,2.0,106.7202,10.793800000000001,False,20000000.0,0.266666666666666,20000000.0
154944758,114165029,102,Quận 7,9474.0,Phường Tân Phong,Nguyễn Đức Cảnh,True,Duplex,250.0,4,4.0,106.7126,10.721,False,50000000.0,0.2,50000000.0
153877424,113247553,111,Quận Phú Nhuận,9327.0,Phường 9,Hoàng Minh Giám,True,Chung cư,105.0,3,2.0,106.6742,10.8095,False,43000000.0,0.204761904761904,21500000.0
154793738,114033987,103,Quận 8,9450.0,Phường 5,đường số 5 khu dân cư bông sao ,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.6632,10.7384,False,0.0,0.21250000000000002,8500000.0
155095485,114296133,102,Quận 7,9475.0,Phường Phú Mỹ,Hoàng Quốc Việt,True,Chung cư,90.0,3,2.0,106.7373,10.7142,False,0.0,0.177777777777777,16000000.0
153267152,112723276,96,Quận 1,9226.0,Phường Cầu Kho,Võ Văn Kiệt,True,Chung cư,78.0,2,2.0,106.6891,10.7564,False,46000000.0,0.29487179487179405,23000000.0
152350627,111936849,109,Quận Bình Thạnh,9296.0,Phường 22,Nguyễn Hữu Cảnh,True,Chung cư,82.0,2,2.0,106.7203,10.793800000000001,False,0.0,0.21951219512195103,18000000.0
154335965,113640787,112,Quận Tân Bình,9299.0,Phường 2,Lam Sơn,True,Chung cư,65.0,1,1.0,106.6667,10.8086,False,0.0,0.18461538461538402,12000000.0
154793766,114034008,109,Quận Bình Thạnh,9282.0,Phường 26,Đặng Thùy Trâm,False,Chung cư,40.0,1,1.0,106.7027,10.8292,False,0.0,0.125,5000000.0
154944812,114165083,115,Huyện Bình Chánh,9517.0,Xã Bình Hưng,Nguyễn Văn Linh,True,Chung cư,100.0,3,2.0,106.6439,10.7109,False,15.0,0.075,7500000.0
